Cod SIRUTA;Numele localitatii;Mediu;Cod judet;Numele localitatii superioare
8041;BARSANA;Rural;AB;SUGAG
5363;BARZAN;Rural;AB;LUPSA
5871;BARZOGANI;Rural;AB;MOGOS
7464;BAZESTI;Rural;AB;SOHODOL
8112;BELDIU;Urban;AB;ORAS TEIUS
4384;BENIC;Rural;AB;GALDA DE JOS
2997;BERGHIN;Rural;AB;BERGHIN
5247;BETA;Rural;AB;LOPADEA NOUA
4026;BIDIGESTI;Rural;AB;CIURULEASA
4543;BIHARIA;Rural;AB;GARDA DE SUS
7892;BIIA;Rural;AB;SONA
7473;BILANESTI;Rural;AB;SOHODOL
3486;BISERICANI;Rural;AB;BUCIUM
3048;BISTRA;Rural;AB;BISTRA
1357;BLAJ;Urban;AB;MUNICIPIUL BLAJ
3404;BLANDIANA;Rural;AB;BLANDIANA
6798;BLIDESTI;Rural;AB;ROSIA MONTANA
7482;BOBARESTI;Rural;AB;SOHODOL
8452;BOBARESTI;Rural;AB;VIDRA
5880;BOCESTI;Rural;AB;MOGOS
1712;BOCSITURA;Urban;AB;ORAS CUGIR
8247;BODESTI;Rural;AB;VADU MOTILOR
4035;BODRESTI;Rural;AB;CIURULEASA
5899;BOGDANESTI;Rural;AB;MOGOS
8461;BOGDANESTI;Rural;AB;VIDRA
4044;BOGLESTI;Rural;AB;CIURULEASA
2620;BOLDESTI;Rural;AB;AVRAM IANCU
3869;BOLOVANESTI;Rural;AB;CERU-BACAINTI
1473;BONCESTI;Urban;AB;ORAS CAMPENI
